吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
乐至烤肉	特色	辣	现在乐至烤肉以其香、辣、脆、麻等特色受到了国内外食客的喜爱。
勐巴娜西珍奇园	特色	稀	勐巴娜西珍奇园汇集了全国少见的大量古树名木和世界罕见的硅化木玉石。其特色是：稀、奇、古、怪，堪称精品荟萃的旅游亮点、亚热带植物基因宝库。
广寒寺	特色	静	射洪县凉帽山广寒寺位于射洪县西部，是一个以蜀汉文化、宗教文化为内涵，以古、静、幽为特色的山地综合性佛教圣地。广寒寺，于唐代天授元年修建；建成后，多次毁于兵燹，最后一次补修于乾隆二十三年；是射洪保存最为完整的清式古建筑群。
江豆干	特色	焦	因其形似江豆，故称江豆干。有脆、焦、甜的特色。
李涌金“火柴世界”收藏馆	特色	新	李涌金“火柴世界”收藏馆于1990年5月对外开放。馆主20多年来收藏了140多个国家和地区4000多盒形状各异的火柴，他的藏品具有“奇、妙、新、少”四个特色。
禾禾面吧	特色	饼	禾禾面吧是特色饮品、米、面、粥、饼、为依托，主要以烩面、煨面、酱拌面、锅烧面、经典川式面和私房牛肉面为主的砂锅面。
脆煎饼	特色	香	脆煎饼，汉族面食食。以山东为盛，起源甚早。将五谷杂粮磨成面糊，倒入烧热的鏊子，用煎饼筢子摊平烙制而成。近年来新生煎饼的一种，口感清脆，味美主要特色，薄、脆、香、酥。
医院后勤	包括	行	它包括衣、食、住、行、水、电、煤、气、冷、热等诸多方面。医院后勤管理工作主要分为财经管理与总务管理两部分。财经管理工作包括经济管理与财务管理。总务管理工作包括物资管理、基建房产管理、设备管理和生活服务管理等。
人类活动	包括	渔	人类活动是人类为了生存发展和提升生活水平，不断进行了一系列不同规模不同类型的活动，包括农、林、渔、牧、矿、工、商、交通、观光和各种工程建设等。
半胱氨酸蛋白酶	包括	H	半胱氨酸蛋白酶包括组织蛋白酶B、H、L等，一般存在于溶酶体，主要参与细胞吞噬和细胞内多余物质的清除和消化。
旅游资讯	包括	住	旅游资讯的范围延伸很广，按照旅游界的说法，应该是涉及到旅游吃、住、行、游、购、娱六要素的各方面信息，不仅包括旅游者的信息，也包括旅游从业者得信息。
气象要素	包括	云	主要有：气温、气压、风、湿度、云、降水以及各种天气现象。扩大气象要素的概念，则它还可包括日射特性、大气电特性等大气物理特性；还有自由大气中的气象要素的说法。气象要原则上还可以包括无法测定，但可求算的、各基本要素的函数，如相当温度、位温和空气密度等。
吮指原味鸡块	口味	香	吮指原味鸡块，油炸系列的鸡肉制品。口味以咸、鲜、香为主。
冰豌豆粉	口味	酸	冰豌豆粉，是云南盛夏小吃，昆明的中老年人提起凉豌豆粉都会勾起青少年时代最温馨的回忆，至今仍是家庭自配口味的夏季凉食。其成品酸、甜、麻、辣，鲜香味浓，尤受青少年之独爱。
干煸牛肉丝	口味	咸	干煸牛肉丝是四川地区汉族传统名菜，属于川菜菜系，以牛肉为制作主料，干煸牛肉丝的烹饪技巧以干炒为主，口味属于家常味。此菜是效仿四川名菜干煸牛肉丝而制做的，面筋丝呈牛肉丝的酱红色，芹菜嫩绿鲜香，麻、辣、咸、鲜、香、甜，六味俱全，下饭佐酒皆宜。
猪手眉豆汤	口味	鲜	猪手眉豆汤属于羹/汤，主料是猪蹄，口味是鲜，工艺是炖，中级难度。
梅酱拌鸡片	口味	甜	梅酱拌鸡片是潮汕风味，红、黄、绿、白相间，色调鲜艳，为夏令佳肴。口味偏重香、浓、鲜、甜；主要用梅酱作为调味品。
糟鸡一锅端	口味	鲜	糟鸡一锅端为鸡，糟酒，番茄，胡萝卜，土豆，香菇，去皮豌豆为主料的一道菜品，口味咸，鲜。
爱鸭黑鸭王	口味	鲜	爱鸭黑鸭王，简称爱鸭，也称爱鸭连锁，隶属于江苏益客集团熟食事业部，爱鸭熟食产品以黑鸭为食材特色秘方亨制而成，口味具麻、辣、甜、鲜、香等，入口唇齿留香，令人回味无穷，是颇受消费者所喜爱的川蜀卤味熟食产品。
灌肠鸭	口味	辣	灌肠鸭整鸭一只，去内肠。先烟熏（七八分熟），再汤煮（煮至完全熟）。加料酒上色，再加若干拌菜佐之！也可随自己的口味适当地加作料，亦辣亦麻，自己喜欢就可以。
酸辣面	口味	甜	该面实为襄阳早餐之一绝；云南酸辣面昭通口味酸辣面，在昆明售卖已有几十年的历史，是人民群众常喜爱吃的经济面食；四川酸辣面具有酸、甜、香、辣、咸等不同的味道，别有一番风味。
草沟烧饼	口味	甜	草沟烧饼形状多为椭圆形，常人手掌大小而内外多层。所以吃起来外脆内酥，油而不腻，香润可口。草沟油酥烧饼以制作材料不同，总的来说共为三种，用糖的是甜的，用盐的为咸的，而用五香粉的则是五香烧饼。每一种都是不同的口味，所以很适合不同口味的的人食用。
蜜汁烤翅	口味	香	蜜汁烤翅，以鸡翅为主要原料，蜂蜜、烧烤腌料为主要调料烤制而成的一道美食，制作难度中等，口味香甜。
鲈鱼萝卜丝汤	口味	鲜	鲈鱼萝卜丝汤属于羹/汤，主要原料是鲈鱼、萝卜，口味是鲜，工艺是炖，难度属于中级。
华西琉璃灰蝶	属	琉璃灰蝶属	华西琉璃灰蝶，拉丁名Celastrinahersilia，灰蝶科、琉璃灰蝶属蝶类。
宽叶山黧豆	属	山黧豆属	宽叶山黧豆（拉丁学名：LathyruslatifoliusLinn.），豆科山黧豆属植物。
褐耳雀鹰	属	鹰属	褐耳雀鹰（学名：Accipiterbadius）为鹰科鹰属的鸟类，是一种小型猛禽，体长为31-44厘米，体重217-325克。
滇西复叶耳蕨	属	复叶耳蕨属	滇西复叶耳蕨，鳞毛蕨科复叶耳蕨属植物，植株高85厘米。
水仙花鸢尾	属	鸢尾属	水仙花鸢尾（学名：Irisnarcissiflora）为鸢尾科鸢尾属的植物，是中国的特有植物。
点囊苔草	属	苔草属	点囊苔草（学名：Carexrubro-brunneaC.B.Clarke）为莎草科苔草属的植物。
铁青树属	属	铁青树属	铁青树属（学名：OlaxL），铁青树科，约55种，分布于热带亚洲，其中铁青树O.wightianaWall.和疏花铁青树O.laxifloraMerr.3种，中国南部亦产之。
喀什菊	属	喀什菊属	喀什菊（学名：Kaschgariakomarovii(Krasch.etN.Rubtz.)Poljak.）菊科喀什菊属半灌木植物，产我国新疆（阿尔泰山区）。
滇龙胆草	属	龙胆属	滇龙胆草（滇南本草），又名坚龙胆（中国高等植物图鉴），苦草、青鱼胆、小秦艽（云南），蓝花根、炮仗花。龙胆科，龙胆属，多枝组。
展苞灯心草	属	灯心草属	展苞灯心草，灯心草科灯心草属植物，多年生草本。
茴鱼	属	茴鱼属	茴鱼是鲑形目鲑亚目茴鱼科茴鱼属的1种，又名斑鳟子。
白点富天竺鲷	属	小天竺鲷属	白点富天竺鲷（学名：Foaabocellata）为天竺鲷科小天竺鲷属的鱼类，俗名白点小天竺鲷。
长喙棘蝇	属	棘蝇属	长喙棘蝇，Phaonialongirostris（XueetZhao，1996），蝇科棘蝇属的一个物种。
凸背鳞毛蕨	属	鳞毛蕨属	凸背鳞毛蕨（学名：Dryopterispseudovaria）为鳞毛蕨科鳞毛蕨属下的一个种。
广西假毛蕨	属	假毛蕨属	广西假毛蕨（学名：Pseudocyclosorusguangxiensis）为金星蕨科假毛蕨属下的一个种。
南非兀鹫	属	兀鹫属	南非兀鹫，Gypscoprotheres（Forster,1798），脊索动物门、鸟纲、隼形目、鹰科、秃鹫亚科、兀鹫属的一种猛禽。
丁榔皮	属	灯台树属	丁榔皮是山茱萸科灯台树属植物梾木（CornusmacrophyllaWall.）以树皮入药。
绒毛长蒴苣苔	属	长蒴苣苔属	绒毛长蒴苣苔（学名：Didymocarpusdemissus）为苦苣苔科长蒴苣苔属下的一个种。
胭脂萝卜	属	萝卜	胭脂萝卜又名涪陵红心萝卜，为十字花科萝卜属二年生蔬菜作物，是涪陵三大特产之一。
银鹊树属	属	银鹊树属	TapisciaOliv.银鹊树属，省沽油科，有银鹊树T.sinensisOliv.等2种，产我国西南部和中部，供庭园观赏用。
阔羽毛蕨	属	毛蕨属	阔羽毛蕨（学名：Cyclosorusmacrophyllus）为金星蕨科毛蕨属下的一个种。
加查獐牙菜	属	獐牙菜属	加查獐牙菜，龙胆科，獐牙菜属，多年生草本植物。
太白米	属	假百合属	太白米百合科假百合属植物假百合Notholirionhyacinthinum（Wils.）Stapf以小鳞茎入药。
红头鸽	属	鸽属	红头鸽，Columbapicazuro（Temminck,1813），鸠鸽科鸽属的一个物种。
方枝树科	属	只有1属	方枝树科分布在非洲西部和南部，为小乔木或灌木，现只有1属约10种。
心叶荚蒾根	属	荚蒾属	心叶荚蒾根是心叶荚蒾（拉汉种子植物名称）的根（学名：Viburnumnervosum）为五福花科荚蒾属的植物。
脱毛喜阴悬钩子	属	悬钩子属	脱毛喜阴悬钩子（学名：Rubusmesgaeusvar.glabrescens）是蔷薇科悬钩子属的变种。
紫薯	属	番薯属	紫薯（Ipomoeabatatas(L.)Poir.旋花科Convolvulaceae番薯属）又叫黑薯，薯肉呈紫色至深紫色。它除了具有普通红薯的营养成分外，还富含硒元素和花青素。紫薯为花青素的主要原料之一。
素色杆蟋螽	属	杆蟋螽属	素色杆蟋螽（学名：Phryganogrylllacrisunicolor）是蟋螽科杆蟋螽属的一种中大型螽斯。
短裂苦苣菜	属	苦苣菜属	短裂苦苣菜（学名：Sonchusuliginosus）是菊科苦苣菜属的植物，为中国的特有植物。
武威山新木姜子	属	新木姜子属	武威山新木姜子，樟科、新木姜子属植物。
椴六点天蛾	属	六点天蛾属	椴六点天蛾，Marumbadyras(Walker，1856)，天蛾科六点天蛾属的一个物种。
翅茎草	属	翅茎草属	翅茎草，PterygiellanigrescensOliv.，玄参科翅茎草属一年生草本，干时稍变为黑色或几不变黑，直立，高约25—35厘米，有时可达50厘米，全体密被褐色具腺短柔毛。
棘刺红索藻原变种	属	红索藻属	棘刺红索藻原变种，学名Thoreahispida，红索藻科，红索藻属，生境：溪流或泉水中，着生于小石块上。
云南水东哥	属	水东哥属	云南水东哥（学名：Saurauiayunnanensis），为猕猴桃科水东哥属下的一个植物种。
何齐山醒海葵	属	山醒海葵属	何齐山醒海葵（学名：Synandwakiahozawai）为山醒海葵科山醒海葵属的动物。
乌恰贝母	属	贝母属	乌恰贝母（FritillariaferganensisLosinsk.），是百合科贝母属的植物，分布于中国新疆和吉尔吉斯斯坦的费尔干地区。
细纹狮子鱼	属	狮子鱼属	细纹狮子鱼（学名：Liparistanakae）为狮子鱼科狮子鱼属的鱼类。
黄柳组	属	柳属	黄柳组（学名：Sect.FlavidaeY.L.Chang），为杨柳科柳属灌木植物。
无梗艾纳香	属	艾纳香属	无梗艾纳香（学名：Blumeasessiliflora）是菊科艾纳香属的植物。
长柄浅黄马先蒿	属	马先蒿属	长柄浅黄马先蒿是马先蒿属的一种，玄参科植物。
贵州鼠李	属	鼠李属	贵州鼠李（学名：Rhamnusesquirolii），为鼠李科鼠李属下的一个植物变种。
暗黄鹿尺蛾	属	霜尺蛾属	暗黄鹿尺蛾，Alcissemiclarataquadrifera(Walker)，尺蛾科霜尺蛾属的一个物种。
竹叶胡椒	属	胡椒属	竹叶胡椒（学名：Piperbambusaefolium）为胡椒科胡椒属的植物，为中国的特有植物。
崖藤	属	崖爬藤属	崖藤（学名：AlbertisialaurifoliaYamamoto）为防已科崖爬藤属的植物。
东俄洛凤仙花	属	凤仙花属	东俄洛凤仙花（学名：Impatienstoxophora）为凤仙花科凤仙花属下的一个种。
长尾黄蟌	属	黄蟌属	长尾黄蟌系蜻蜓目、蟌科、尾黄蟌属蜻蜓。
秋白鲑	属	白鲑属	秋白鲑又名凹目白鲑，是辐鳍鱼纲鲑形目鲑科白鲑属的其中一种，是贝加尔湖的主要经济鱼种，有“贝加尔湖美味之称”的秋白鲑。
永安华溪蟹	属	华溪蟹属	永安华溪蟹（学名：Sinopotamonyonganense）为溪蟹科华溪蟹属的动物。
蛇葡萄	属	蛇葡萄属	为葡萄科蛇葡萄属植物蛇葡萄（东北蛇葡萄）Ampelopsissinica（Mig.）W.T.Wang.的根皮。
有机热载体炉	燃料	气	有机热载体炉，是导热油炉的常用名，俗称导热油锅炉，官方名称为热油炉。其是以煤、油、气为燃料，以导热油为循环介质供热的新型热能设备，采用高温循环泵强制导热油进行闭路循环，在将热能供用热设备后重新返回锅炉中加热的工艺流程。
手烧导热油锅炉	燃料	气	手烧导热油锅炉以煤（或油、气、电等）为燃料，以导热油为热载体，通过热油泵的强制（注入或吸出）循环，将热油通过管路输送到用热设备后再返回热油炉中，闭路循环供热。
夔州都督府	管理地区	归	夔州都督府，唐代一级行政区划名，治夔州（南朝梁至隋朝称信州，今重庆奉节），贞观十四年（640）改夔州总管府而析置，管理地区：归、夔、忠、万、涪、渝、南七州，约今重庆市全境、湖北西部。
堽城屯	姓氏	仲	堽城屯为宁阳县内较大的自然村落之一，分为东西南北四个行政村。主要姓氏有仲、任、殷、朱等。
祁庄子村	姓氏	付	祁庄子村位于宋道口镇政府西偏南3公里处。有260户，885口人。主要姓氏有赵、刘、付。
国际社会科学杂志	语言	俄	《国际社会科学杂志》是由联合国教科文组织于1949年创办的综合性社会科学期刊（季刊），使用英、法、德、俄、中、西班牙六种语言在世界范围内发行。
四梢	锻炼	指	在中国古代武术训练方法里，特别注重对于发、舌、齿、指的锻炼，并称此四个部位为四梢。特别是形意门，把四梢的修炼上升到理论的高度，特别提出四梢要齐的理论。
新疆菜	制作方法	酱	新疆菜以清真菜系为主，大多吃牛羊肉，多采用爆、烤、涮、烧、酱、扒、蒸的制作方法，著名的佳肴有烤全羊、大盘鸡、馕包肉、手抓羊肉等，口味偏酸辣。
承扶	主治	腰	承扶，经穴名。亦作扶承。出《针灸甲乙经》。别名肉郄、阴关、皮部。属足太阳膀胱经。在大腿后面，臀下横纹的中点。布有股后皮神经，坐骨神经，及与坐骨神经并行的动、静脉。主治腰、骶、臀、股部疼痛，痔疾，大便难，及坐骨神经痛，下肢麻痹或瘫痪等。
少林单匕首	主要包括	拨	少林单匕首是少林寺比较衡有的套路之一。其动作主要包括挑、扎、点、扫、拨、压、劈、拦、隔、撩等。
干青种	可加工成	坠	干青种简介，颜色浓绿悦目，色纯正不邪，硬玉结晶呈微细柱状、纤维状（变晶）集合体，晶粒肉眼能辩，透明度差，阳光照射不进，灯光约进表面lmm，质地粗粒感底干，敲击玉体音呈石声。饰品可加工成佩、坠、镯、雕件，属中―低档。
大气光学现象	主要有	华	大气光学现象是指气中发生的各种光学现象。主要有：晕、虹、华、海市蜃楼、闪烁、曙暮光、朝晚霞等。
太极尺	组合手法	绞	太极尺-----集内气、缠丝内功和养生内功之一体，分别以缠、拧、圈、绞、卷、颤等多种组合手法、辅以内气运行的内功修炼方法。
收涩药	归经	肾	又叫收涩药。性味：味多酸、涩；性多温或平。归经：主入肺、脾、肾、大肠经（可因分类不同而异）。
无机化工	主要原料是	钠	无机化工产品的主要原料是含硫、钠、磷、钾、钙等化学矿物和煤、石油、天然气以及空气、水等。
无机胶水	不含	磷	所谓无机胶水是添加剂中不含镁、磷、铝、铁等化学成分，化学活性好，防水防潮，固定碳降低量少，所谓有机胶水就是含有化学成分的胶水。
旺业甸国家森林公园	树种	松	旺业甸国家森林公园位于内蒙古自治区赤峰市旺业甸镇，与河北省隆化县、围场县相邻、属大兴安岭和燕山山脉的交接地带，植物集东北、华北群落之大成，距承德100公里，距赤峰55公里。位于喀喇沁旗西南部，有林面积34.8万亩，生长着松、柏、桦、椴等20多个树种。
土豆小葱焖饭	主要材料	米	土豆小葱焖饭是一道美食，主要材料：米1杯土豆2个大葱适量姜适量蒜适量小葱适量香菜适量辣酱适量生抽适量胡椒粉适量料酒适量鸡精适量香油适量。
地软	食用方法	烩	地软又名地木耳、地见皮、地踏菜、地皮菜、地皮木耳。生长范围很广，适应性很强。色味形俱佳，口感甚佳。似木耳之脆，但比木耳更嫩；如粉皮之软，但比粉皮微脆，润而不滞，滑而不腻，有一种特有的爽适感。食用方法很多，可炒食、凉拌、馏、烩、作羹等。
地震会商	主要遵循	中	地震会商主要遵循“长、中、短、临”渐近式预报思路，通过测震资料和前兆资料宏、微观异常的系统分析，得出地震趋势预测意见。
广州重庆大厦	服务功能	行	广州重庆大厦是重庆市人民政府驻广州办事处所属的经营实体，具备食、住、行、商贸等各种服务功能。
山东省志·气象志	层次划分	章	《山东省志·气象志》的编纂工作始于1983年，1994年正式出版。志书以篇、章、节层次划分，全书共设4篇，内容依次为天气气候、气象台站网、气象业务、气象事业管理。
清香砂锅鸡	主要原料	酒	清香砂锅鸡是一道美食，主要原料有鸡、香菇、葱、蒜、沙姜、盐、酒。
美味牛肉脯	主要原料	盐	美味牛肉脯是一道美食，主要原料为牛肉馅、盐、糖、鸡精、姜粉、白胡椒粉。
蛤蜊烩银丝	主要原料	油	蛤蜊烩银丝是一道美食，属于海鲜，主要原料为蛤蜊、白萝卜、油、盐等。
虾皮烩嫩豆腐	主要原料	姜	虾皮烩嫩豆腐是一道美食，主要原料为麻豆腐、葱、姜、干辣椒。
砂锅炖驴肉	营养成分	铁	砂锅炖驴肉是江苏省连云港地区汉族名菜，砂锅炖驴肉制作讲究，很有特色。而驴肉的营养成分也很高，含有蛋白质、钙、磷、铁等，是烹制菜肴的上好原料。
编织工艺品	原料	皮	编织工艺品是将植物的枝条、叶、茎、皮等加工后，用手工编织而成的工艺品。编织工艺品在原料、色彩、编织工艺等方面形成了天然、朴素、清新、简练的艺术特色。
纺车	原料	麻	纺车是采用纤维材料如毛、棉、麻、丝等原料，通过人工机械传动，利用旋转抽丝延长的工艺生产线或纱的设备。纺车通常有一个用手或脚驱动的轮子和一个纱锭。
麻辣豉香牛肉酱	原料	葱	麻辣豉香牛肉酱是一道菜品。原料为牛肉末、葱、姜、蒜、郫县豆瓣酱、豆豉、糖、老抽。
钢筋垫块机	原料	石	以河砂、石子、矿渣、页岩、粉煤灰等为主要原料，添加少量水泥，由该钢筋垫块机制造成型钢筋垫块，经自然养护即可使用的钢筋垫块机设备。
食品加工	原料	林	食品加工，是指直接以农、林、牧、渔业产品为原料进行的谷物磨制、饲料加工、植物油和制糖加工、屠宰及肉类加工、水产品加工，以及蔬菜、水果和坚果等食品的加工活动，是广义农产品加工业的一种类型。
绿段草	性味	凉	或呼为绿段草。高三寸许，叶如水竹于叶而宽厚，面绿有直纹，紫白圆点相间；背紫，光滑可爱。"所述及附图，与现野牡丹科植物小蜂斗草相符。性味味甘；淡；性凉。
紫河车	性味	咸	紫河车，指人类的胎盘，医认为，胎盘性味甘、咸、温，入肺、心、肾经，有补肾益精，益气养血之功。
松节	性味	温	松节SōnɡJié别名黄松木节、油松节、松郎头药材基源：为松科植物油松、马尾松、赤松、云南松等枝干的结节。性味归经为苦，温，归肝经。
白菜猪骨汤	调料	姜	白菜猪骨汤，用料：大白菜约3片、猪骨、红枣。调料：姜、盐、鸡精。
肉包	调料	糖	肉包是北方地域常食的面点，原料面皮材料：面粉400克、鲜酵母5克、水250克。馅心材料：肉沫400克、鸡蛋2个，木耳、干菇、笋各适量、葱姜适量。调料：盐、酱油、糖、美极鲜味汁、蚝油、鸡精、香油。
淡菜萝卜豆腐汤	辅料	葱	淡菜萝卜豆腐汤是家常菜，主料：淡菜50克、白萝卜500克、豆腐3快，辅料：香菇2朵、葱1根、盐适量。
腊肠蒸鱼	辅料	葱	腊肠蒸鱼原料：新鲜鱼、广式腊肠。辅料：盐、胡椒粉、白糖、料酒、生抽、姜丝、葱、辣椒。
红烧茄子肉丝	辅料	姜	红烧茄子肉丝是一道菜名，属于家常菜。主料：三根细茄子，洗净，削皮，剖称两半切成一厘米宽度的小块，里脊切丝，辅料：葱、姜、蒜。
水调面团	辅料	油	水调面团：即用各种粮食的粉料(包括面粉、米粉和其他杂粮的粉料)掺入水、油、蛋等进行调制，使面粉的粉粒和水及其他辅料相粘连，成为一个整体的团块，被称为水调面团。
清蒸猪肚菇	辅料	椒	清蒸猪肚菇是指用猪肚菇、鸡脯作为主料，配以生姜、葱、椒、黄酒等辅料制作而成的一道菜。
泸医附院	位于	黔	泸医附院位于川、滇、黔、渝三省一市结合部，坐落在四川省泸州市风景秀丽的忠山之麓，服务人口达2000多万。
综合性大学	学科	商	综合性大学是指学科比较齐全，文、理、工、商、法、医科皆有，学科门类齐全，办学规模宏大，科研实力强劲，往往是以理论性见长，综合实力上乘的大学。
脱氧核苷酸	元素组成	C	一般由C、H、O、N、P五种元素组成。脱氧核苷酸是脱氧核糖核酸的基本单位。
烟熏鸭	烹制法	卤	烟熏鸭属于四川美食中川菜菜品的冷菜一类，烟熏鸭，冷菜，烟香味型。特点：色泽金红，肉质细嫩，烟香浓郁。烹制法：腌、熏、卤。
歌乐山森林公园	自然景观	水	歌乐山森林公园位于沙坪坝区歌乐山街道，以山、水、林、泉、洞、云、雾等自然景观著称于世，被誉为“山城绿宝石”，素有“天然大氧吧”的美称。
自然硫	杂质	钛	分子式s8，理论含硫量为100%，此外，自然硫中通常含有一些杂质，火山岩自然硫往往含有少量砷、碲、硒和钛，沉积型自然硫常夹杂有方解石、粘土、有机质和沥青等。
秀丽三代虫	寄生宿主	鲤	种名：秀丽三代虫(GyrodactyluselegansNordmann,1832)寄生宿主：鲤、鲫寄生部位：体表、鳃成虫形态体长0.45-0.60mm。
海底热液多金属硫化物	富含	铁	海底热液多金属硫化物（hydrothermalsulfide）是富含铁、铜、铅、锌等金属的热液成因之海底自生沉积物。
竹溪贡米	富含	锌	竹溪贡米，湖北省竹溪县特产，唐代始封“贡米”，米质白如玉，形状似梭，粒大个长，色泽光亮，晶莹饱满，浆汁如乳，香柔可口，富含人体所需钙、铁、锌、硒等微量元素。
琉璃釉	着色剂	钴	低温色釉之一，釉料以石英为主，铁、钴、锰为着色剂，以铅为助熔剂。多为在烧好的素胎上施以琉璃釉，然后经低温二次烧造而成，主要用于装饰陶胎制品。
电子相册	表现手法	声	电子相册具有传统相册无法比拟的优越性：图、文、声、像并茂的表现手法，随意修改编辑的功能，快速的检索方式，永不褪色的恒久保存特性，以及廉价复制分发的优越手段。
谷梁赤	名	俶	名或作喜、寘、俶，字子始，山东省菏泽定陶人。相传为子夏弟子。治《春秋》，初仅口说流传，至谷梁赤，为《春秋》残亡，多所遗失，乃为经作传，称《春秋谷梁传》。
垿	名	诸侯宴会时放酒杯的土台	垿xù，古代天子、诸侯宴会时放酒杯的土台[earthtableforlayingwinecup]。徐志摩原名徐章垿。
吴公仪	名	润泽	吴公仪，名润泽，字子镇，吴家太极拳宗师吴鉴泉长子，乃吴氏太极拳代表人物之一。
常缘法师	名	常缘	常缘法师，俗姓任，名常缘，字空了，号续震、广朗。1977年农历12月25日出生于河北省张家口市怀安县柴沟堡，自幼对佛教虔诚信仰。常缘法师现为天竺禅寺住持。
谷梁赤	名	作喜	名或作喜、寘、俶，字子始，山东省菏泽定陶人。相传为子夏弟子。治《春秋》，初仅口说流传，至谷梁赤，为《春秋》残亡，多所遗失，乃为经作传，称《春秋谷梁传》。
高速列车	国家	英	到目前为止，开通高速列车的国家有日，中，法、德，意，英，俄，瑞典等国。
咎	指	过失	咎，会意字，指过失，罪过，怪罪，处分等，可用作名词，动词，常用的词语为“咎由自取”。
毛使君子	纲	双子叶植物纲	毛使君子属于植物界被子植物门双子叶植物纲使君子科使君子属分布于亚洲台湾以及中国大陆的福建四川等地目前尚未由人工引种栽培。
尼达姆蜻蜓	纲	昆虫纲	【中文名称】尼达姆蜻蜓【拉丁学名】Libellulaneedhami【命名者及时间】Westfall,1943【英文名称】Needham'sSkimmer【科属分类】节肢动物门，昆虫纲，蜻蛉目、差翅下目、蜻蜓科、Libellula属。
小纹霸鹟	纲	鸟纲	【中文名称】小纹霸鹟【英文名称】LeastFlycatcher【科属分类】脊索动物门、鸟纲、雀形目、霸鹟科。
圆叶钓皮樟	纲	双子叶植物纲	圆叶钓皮樟别名，属于被子植物门双子叶植物纲，分布在广东、广西、福建等地。
南非蹄蝠	纲	哺乳纲	南非蹄蝠，哺乳纲、翼手目、菊头蝠科的一属，而与蹄蝠属同科的动物，尚有大耳无尾蹄蝠属、金蹄蝠属、无尾蹄蝠属、非洲三叉蝠属等之数种哺乳动物。
花蜒蛇尾	纲	蛇尾纲	花蜒蛇尾（拉丁学名：Ophionereisvariegata），属于蛇尾纲蜒蛇尾科蜒蛇尾属。
罗氏圆鲹	纲	辐鳍鱼纲	罗氏圆鲹，（学名：Decapterusrusselli）又称红鳍圆鲹、红瓜鲹，俗名为红赤尾、硬尾，为辐鳍鱼纲鲈形目鲈亚目鲹科的其中一个种。
火草/柳叶草	纲	双子叶植物纲	火草/柳叶草，被子植物门、双子叶植物纲植物。
禾生盘梗霉	纲	藻状菌纲	禾生盘梗霉，藻状菌纲霜霉科植物，主要产生于黄瓜果实上。
黑喉绿阔嘴鸟	纲	鸟纲	【中文名称】黑喉绿阔嘴鸟【拉丁学名】Calyptomenawhiteheadi【命名时间】Sharpe,1888【英文名称】Whitehead'sBroadbill【科属分类】脊索动物门、鸟纲、雀形目、阔嘴鸟科。
鳠	纲	硬骨鱼纲	鳠，Mystus，硬骨鱼纲、鲇形目、鲿科（鮠科）鱯属。
怀氏彩蝠	纲	哺乳纲	怀氏彩蝠由Thomas命名为哺乳纲翼手目犬吻蝠科彩蝠属的动物。
大斑石鲈	纲	硬骨鱼纲	大斑石鲈，俗名：石鲈、头鲈、猴鲈、海猴。英文学名：Blotchedgrunt,属硬骨鱼纲、鲈形目、石鲈科、石鲈属鱼类，分布于印度洋和太平洋西部、我国南海和东海产之。
范半夏	纲	单子叶植物纲	范半夏属于单子叶植物纲，为双子叶植物药天南星科植物范半夏的块茎。
马鞍刺盖鱼	纲	辐鳍鱼纲	马鞍刺盖鱼，又称蓝肩刽盖鱼，为辐鳍鱼纲鲈形目鲈亚目盖刺鱼科的其中一个种。马鞍刺盖鱼（Pomacanthusnavarchus）又称马鞍神仙鱼，是历史比较悠久的海水观赏鱼类，因其美丽的外表长时间受到人类的关注。
南白脸角鸮	纲	鸟纲	南白脸角鸮，脊索动物门、鸟纲、鸮形目、鸱鸮科、白脸鸮属，分布于非洲中南部地区，包括阿拉伯半岛的南部、撒哈拉沙漠（北回归线）以南的整个非洲大陆。
丝藻目	纲	绿藻纲	丝藻目（Ulotrichales）是绿藻门（Chlorophyta）、绿藻纲（Chlorophyceae）的一目。
棕巨灶鸫	纲	鸟纲	【中文名称】棕巨灶鸫【拉丁学名】Pseudoseisuracristata【命名时间】Spix,1824【英文名称】CaatingaCacholote【科属分类】脊索动物门、鸟纲、雀形目、灶鸟科。
红斑塔旋螺	纲	腹足纲	红斑塔旋螺，拉丁学名为Latiruscraticulatus，其命名者是Linnaeus（1758），是一种肉食类贝壳。属于贝类动物，软体动物门，腹足纲，新腹足目、旋螺科。
马拉布鹳鸟	纲	鸟纲	马拉布鹳鸟隶属于—鸟纲——鹳科—秃鹳属—非洲秃鹳种，主要分布在撒哈拉大沙漠以南大部分地区。
荸荠丛剌盘孢	纲	半知菌纲	半知菌纲（FungiImperficti），壳霉目（Sphaeropsidales），杯霉科（Discellaceae），荸荠丛剌盘孢（Vermiculariaeleocharidis）。
艺叶兰	纲	单子叶植物纲	艺叶兰兰花品种类别。亦称“艺兰”。属于被子植物门，单子叶植物纲属。
淡边地长蝽	纲	昆虫纲	淡边地长蝽拉丁名Rhyparochromus节肢动物门昆虫纲动物。
恐鱼	纲	盾皮鱼纲	恐鱼：泥盆纪晚期，地球上出现了真正凶猛而体型巨大的动物，恐鱼是盾皮鱼纲、节颈鱼目的典型代表。
大神仙鱼	纲	辐鳍鱼纲	大神仙鱼，为辐鳍鱼纲鲈形目隆头鱼亚目慈鲷科的其中一种。
豆斑青步甲	纲	昆虫纲	豆斑青步甲是昆虫纲鞘翅目步甲科的一种昆虫。
