宅的表现是不出门。	宅
累的时候，你会不想思考。	累
饿的时候，你会买东西吃。	饿
饿的时候，你会买食物。	饿
累的时候，你会休息。	累
冷的时候，你会使用暖暖包。	冷
冷的时候，你会关窗户。	冷
饿的时候，你会去觅食。	饿
饿的时候，你会吃。	饿
饿的时候，你会吃大餐。	饿
饿的时候，你会吃水果。	饿
饿的时候，你会吃水饺。	饿
饿的时候，你会吃泡面。	饿
饿的时候，你会吃点心。	饿
饿的时候，你会吃锅贴。	饿
饿的时候，你会吃零食。	饿
饿的时候，你会吃面。	饿
饿的时候，你会吃面包。	饿
饿的时候，你会吃饼干。	饿
饿的时候，你会吃鸡排。	饿
饿的时候，你会吃麦当劳。	饿
热的时候，你会吹冷气。	热
热的时候，你会吹电风扇。	热
痛的时候，你会哭泣。	痛
冷的时候，你会喝热饮。	冷
笑的时候，你会嘴角上扬。	笑
冷的时候，你会多穿衣服。	冷
累的时候，你会小歇。	累
睡的时候，你会带眼罩。	睡
热的时候，你会开冷气。	热
冷的时候，你会开暖气。	冷
冷的时候，你会开暖炉。	冷
热的时候，你会开电扇。	热
冷的时候，你会开电暖器。	冷
累的时候，你会想休息。	累
饿的时候，你会想吃东西。	饿
饿的时候，你会想吃饭。	饿
热的时候，你会想吹冷气。	热
累的时候，你会想放假。	累
累的时候，你会想睡觉。	累
饿的时候，你会找东西吃。	饿
饿的时候，你会找水果吃。	饿
冷的时候，你会把窗户关起来。	冷
哭的时候，你会擦眼泪。	哭
累的时候，你会放松一下。	累
累的时候，你会泡澡。	累
哭的时候，你会流泪。	哭
哭的时候，你会流眼泪。	哭
哭的时候，你会流鼻涕。	哭
冷的时候，你会盖被子。	冷
累的时候，你会睡着。	累
睡的时候，你会磨牙。	睡
冷的时候，你会穿外套。	冷
冷的时候，你会穿衣服。	冷
冷的时候，你会穿起外套。	冷
饿的时候，你会肚子咕咕叫。	饿
热的时候，你会脱外套。	热
热的时候，你会脱衣服。	热
累的时候，你会补眠。	累
睡的时候，你会说梦话。	睡
累的时候，你会起来走走。	累
累的时候，你会趴下。	累
睡的时候，你会踢棉被。	睡
冷的时候，你会躲在被窝。	冷
哭的时候，你会躲起来。	哭
睡的时候，你会躺下来。	睡
累的时候，你会闭目养神。	累
下巴脱臼的时候，你会哭。	哭
下雪的时候的时候，你会冷。	冷
伤心的时候，你会哭。	哭
出事情的时候，你会哭。	哭
分手的时候，你会哭。	哭
发抖可能代表冷。	冷
受伤的时候，你会哭。	哭
受委屈的时候，你会哭。	哭
在分手之后，你会哭。	哭
在变身时，你会飞。	飞
在天国之门前，你会哭。	哭
在失恋时，你会哭。	哭
在学校，你会玩。	玩
在宠物离家出走，你会哭。	哭
在开心的时候，你会笑。	笑
在心情好时，你会笑。	笑
在忧郁时，你会哭。	哭
在放榜前，你会玩。	玩
在游乐场，你会玩。	玩
在生气的时候，你会哭。	哭
在看小丸子，你会笑。	笑
在结婚日，你会笑。	笑
在结婚纪念日，你会笑。	笑
在老虎面前，你会逃。	逃
在逃难的时候，你会哭。	哭
在酒池肉林，你会吃。	吃
在除夕，你会笑。	笑
在难过的时候，你会哭。	哭
在高兴时，你会笑。	笑
坠机的时候，你会死。	死
大可能代表重。	重
大地震的时候，你会跑。	跑
天气阴阴的可能代表凉。	凉
失望的时候，你会哭。	哭
头痛可能代表累。	累
头皮痒的时候，你会抓。	抓
孤独的时候，你会哭。	哭
开音乐的时候，你会听。	听
得到第一名可能代表强。	强
思念的时候，你会哭。	哭
恶心的时候，你会吐。	吐
想他的时候，你会笑。	笑
想喝水时可能代表渴。	渴
想喝汤可能代表渴。	渴
想喝饮料的时候，你会买。	买
想家的时候，你会哭。	哭
想念的时候，你会哭。	哭
感到孤单的时候，你会哭。	哭
慌张的时候，你会哭。	哭
打你的时候，你会哭。	哭
打小孩的时候，你会哭。	哭
打针的时候，你会痛。	痛
打雷的时候，你会怕。	怕
拍照的时候，你会笑。	笑
撞墙的时候，你会痛。	痛
晕倒可能代表累。	累
晕车的时候，你会吐。	吐
有人走了可能代表死。	死
有异味可能代表脏。	脏
有蜂窝的时候，你会跑。	跑
比大拇指可能代表赞。	赞
没钱可能代表穷。	穷
沮丧的时候，你会哭。	哭
流汗的时候，你会渴。	渴
海啸发生的时候，你会逃。	逃
满足的时候，你会笑。	笑
火山爆发的时候，你会跑。	跑
热身的时候，你会动。	动
照相的时候，你会笑。	笑
玩游戏的时候，你会笑。	笑
生日的时候，你会笑。	笑
电脑被偷的时候，你会哭。	哭
男生脱裤子可能代表热。	热
痛苦的时候，你会哭。	哭
看到邱毅假发的时候，你会笑。	笑
看康熙的时候，你会笑。	笑
看漫画的时候，你会笑。	笑
看笨版的时候，你会笑。	笑
穿很多衣服可能代表冷。	冷
穿风衣可能代表冷。	冷
红灯可能代表停。	停
考不好的时候，你会哭。	哭
考试不会写的时候，你会想。	想
聊天的时候，你会笑。	笑
肚子叫可能代表饿。	饿
肚子在叫可能代表饿。	饿
胖子可能代表肥。	肥
脱衣服的时候，你会冷。	冷
脱衣的时候，你会冷。	冷
脸红可能代表热。	热
荷包空空可能代表穷。	穷
落榜的时候，你会哭。	哭
蕃茄红了可能代表甜。	甜
虱子可能代表脏。	脏
被上司骂的时候，你会忍。	忍
被伯母骂的时候，你会哭。	哭
被抛弃的时候，你会哭。	哭
被揍的时候，你会痛。	痛
被狗追的时候，你会跑。	跑
被砍的时候，你会痛。	痛
被老师骂的时候，你会哭。	哭
被误会的时候，你会哭。	哭
被踢到膝盖的时候，你会痛。	痛
被追杀的时候，你会跑。	跑
赌输的时候，你会囧。	囧
走路的时候，你会累。	累
赶报告的时候，你会累。	累
身体不适的时候，你会累。	累
还没到期限的时候，你会拖。	拖
迷路的时候，你会哭。	哭
逃跑的时候，你会喘。	喘
逛joke板的时候，你会笑。	笑
遇到色狼的时候，你会逃。	逃
钱包不见可能代表衰。	衰
钱包空了可能代表穷。	穷
水在井里。	水
枪在军火库里。	枪
义在利益外。	义
床在卧室里。	床
云在对流层下。	云
钱在帐户里。	钱
花在情人手里。	花
钱在收银机里。	钱
草在水族箱里。	草
鱼在水族缸里。	鱼
鱼在水池里。	鱼
鱼在水缸里。	鱼
水在池子里。	水
鱼在河水里。	鱼
水在浴缸里。	水
花在温室里。	花
鱼在湖泊里。	鱼
鱼在溪流里。	鱼
鱼在溪里。	鱼
铅在笔心里。	铅
尺在笔袋里。	尺
蛆在粪坑里。	蛆
钱在红包里。	钱
心在胸腔里。	心
水在脸盆里。	水
牙在舌头外。	牙
水在茶壶里。	水
钱在荷包里。	钱
脚在裤子下。	脚
钱在金库里。	钱
钱在银行里里。	钱
火在锅子下。	火
水在鱼缸里。	水
家有一宝。	家
家有一老。	家
人有三急。	人
人有亲戚。	人
水有冰点。	水
人有勇气。	人
书有原文。	书
家有喜事。	家
家有四千金。	家
人有头脑。	人
家有姐姐。	家
家有客厅。	家
书有封面。	书
人有工作能力。	人
家有幸福的味道。	家
人有思考能力。	人
家有恶妻。	家
家有恶犬。	家
人有情感。	人
人有情绪。	人
人有感情。	人
人有慾望。	人
心有房室瓣。	心
家有房间。	家
人有手脚。	人
书有故事。	书
车有方向盘。	车
人有智商。	人
人有智慧。	人
信有格式。	信
狗有灵敏的嗅觉。	狗
家有父母。	家
家有爸妈。	家
家有爸爸。	家
家有狗狗。	家
家有电视。	家
书有知识。	书
饭有碳水化合物。	饭
人有良心。	人
人有良知。	人
家有贤妻。	家
家有贱狗。	家
人有道德观念。	人
家有难唸的经。	家
书有页码。	书
上班有钱。	钱
下课后在家里。	家
临检的警察在车外。	车
主人在楼下。	楼
主人在家里。	家
乌云在窗外。	窗
乌龟有壳。	壳
乘凉的人在树下。	树
乡民在城外。	城
书本中有字。	字
书本里有字。	字
云吞面有汤。	汤
交通银行有钱。	钱
亲情在家里。	家
亲爱的阿嬷在家里。	家
人面狮身像在国外。	国
企业总部在海外。	海
休闲娱乐在户外。	户
传统早餐有粥。	粥
你可以在家找到书桌。	家
你可以在家找到卫生纸。	家
你可以在家找到妈妈。	家
你可以在家找到床铺。	家
你可以在家找到快乐。	家
你可以在家找到桌子。	家
你可以在家找到椅子。	家
你可以在家找到浴室。	家
你可以在家找到温暖。	家
你可以在家找到温馨。	家
你可以在家找到烤箱。	家
你可以在家找到球拍。	家
你可以在家找到电灯。	家
你可以在家找到电脑。	家
你可以在家找到蟑螂。	家
你可以在家找到钥匙。	家
你可以在家找到食物。	家
你可以在家找到餐桌。	家
你可以在中央银行找到钱。	钱
你可以在书中找到字。	字
你可以在体育器材室找到球。	球
你可以在体育场找到球。	球
你可以在体育用品店找到球。	球
你可以在体育馆找到球。	球
你可以在冷冻库找到冰。	冰
你可以在冷泉找到水。	水
你可以在列表机找到纸。	纸
你可以在加油站找到车。	车
你可以在北海岸找到鱼。	鱼
你可以在台湾菸酒找到烟。	烟
你可以在土里找到泥。	泥
你可以在地中海找到船。	船
你可以在大江找到鱼。	鱼
你可以在大甲溪找到水。	水
你可以在央行找到钱。	钱
你可以在富士山找到雪。	雪
你可以在尼加拉瓜瀑布找到水。	水
你可以在建筑工地找到泥。	泥
你可以在很多地方找到书。	书
你可以在收银台找到钱。	钱
你可以在文化馆找到书。	书
你可以在杉林溪森林游乐区找到水。	水
你可以在水族箱找到鱼。	鱼
你可以在汇丰找到钱。	钱
你可以在池塘里找到鱼。	鱼
你可以在池糖里找到水。	水
你可以在海湾找到鱼。	鱼
你可以在渔港找到鱼。	鱼
你可以在港区找到船。	船
你可以在澡堂找到水。	水
你可以在生机饮食找到菜。	菜
你可以在皇家俱乐部找到人。	人
你可以在皇家找到王。	王
你可以在皮包里找到钱。	钱
你可以在皮夹找到钱。	钱
你可以在系办找到人。	人
你可以在红包里找到钱。	钱
你可以在绿洲找到水。	水
你可以在网球场找到人。	人
你可以在美术馆找到画。	画
你可以在翡翠湾找到海。	海
你可以在联谊会找到人。	人
你可以在花旗台湾银行找到钱。	钱
你可以在花莲县文化局找到人。	人
你可以在花莲吉安乡找到人。	人
你可以在藏经阁找到书。	书
你可以在补习班找到人。	人
你可以在观光区找到人。	人
你可以在赌场找到人。	人
你可以在超商找到水。	水
你可以在越南找到人。	人
你可以在身体里找到胃。	胃
你可以在车站找到人。	人
你可以在运动商店找到球。	球
你可以在运动用品店找到球。	球
你可以在野生乐园找到狼。	狼
你可以在金石堂找到书。	书
你可以在金钱豹找到酒。	酒
你可以在阿尔卑斯山找到雪。	雪
你可以在阿里山乡找到人。	人
你可以在雪霸国家公园管理处找到人。	人
你可以在顶好超商找到盐。	盐
你可以在飞机窗外找到云。	云
你可以在餐桌上找到碗。	碗
你可以在香江找到鱼。	鱼
你可以在马来西亚找到人。	人
你可以在高铁站找到人。	人
你可以在高雄市政府找到人。	人
你可以在高雄应用科技找到人。	人
你可以在高雄旗津找到船。	船
你可以在魔兽世界找到人。	人
停车场在楼下。	楼
先人埋在地下。	地
公寓有床。	床
兵营有枪。	枪
内容在书里。	书
冰层有水。	水
出入门在楼下。	楼
匈奴在塞外。	塞
化石在地下。	地
化粪池有屎。	屎
华侨在海外。	海
台风天有雨。	雨
听歌有趣。	趣
回忆在心里。	心
土拨鼠在地里。	地
地瓜在土里。	土
夏天有蝉。	蝉
外星人在天外。	天
大肠在胃下。	胃
太空在天外。	天
头皮在脑外。	脑
姜饼屋有糖。	糖
子弹在枪里。	枪
学问在书里。	书
宁胡阙式在塞外。	塞
富商有钱。	钱
寝室有床。	床
小山坡在郊外。	郊
小河在桥下。	桥
小王子在书里。	书
尸体埋在土里。	土
屁股有肉。	肉
岩层在地下。	地
希望在心里。	心
干净空气在郊外。	郊
底盘在车下。	车
忘记的功课在家里。	家
恨你在心里。	心
情感在心里。	心
感动在心里。	心
我家汽车停在楼下。	楼
我的爱在心里。	心
打棒球在户外。	户
挫冰在碗里。	碗
捷运站在地下。	地
插座有电。	电
操场上有草。	草
明妃在塞外。	塞
星星在云里。	云
暗恋在心里。	心
暗爽在心里。	心
月亮在云里。	云
朋友在心里。	心
木炭在火里。	火
杨过在书里。	书
桂圆蛋糕有糖。	糖
梅花鹿在野外。	野
梦想在心里。	心
森林在户外。	户
正义在心里。	心
水母有毒。	毒
汽水有糖。	糖
河谷在山下。	山
泳池有水。	水
海上有船。	船
海带在水下。	水
海绵宝宝在水里。	水
海葵在水里。	水
游泳池里有水。	水
滑鼠在手下。	手
滑鼠垫在手下。	手
漫画有趣。	趣
火龙果有籽。	籽
爱你在心里。	心
爱你有情。	情
牙齿在嘴里。	嘴
犯人有罪。	罪
狐臭在腋下。	腋
玉门关在城外。	城
王昭君在塞外。	塞
王永庆有钱。	钱
珍珠奶茶有糖。	糖
瓦斯炉有火。	火
生气在心里。	心
电视在屋里。	屋
番薯长在地下。	地
皮卡丘有电。	电
睿靓家有床。	床
秀姑峦溪有水。	水
种子在地下。	地
种子在土里。	土
秘密在心里。	心
章鱼在水里。	水
答案在书里。	书
箱子有锁。	锁
纤维素在草里。	草
美景在窗外。	窗
美术馆里有画。	画
老板在店里。	店
老板娘在店里。	店
老板有钱。	钱
舌头在嘴里。	嘴
艺术馆有画。	画
花圃在楼下。	楼
花生在地下。	地
草原在郊外。	郊
草皮在户外。	户
萝卜在土里。	土
落叶在树下。	树
蜈蚣在土里。	土
被判罪的人在牢里。	牢
西瓜在土里。	土
西瓜有子。	子
警察有枪。	枪
警局有枪。	枪
诊所有药。	药
豆花在碗里。	碗
足球场上有草。	草
车子停在门外。	门
轮子在车下。	车
轮胎在车下。	车
郭台铭有钱。	钱
金鱼在水里。	水
钥匙孔在门外。	门
长笛有洞。	洞
门牌在墙外。	墙
阳台在室外。	室
阴暗角落有尘。	尘
院子有草。	草
难过在心里。	心
雨刷在车外。	车
食物在胃里。	胃
饮料有糖。	糖
香肠在碗里。	碗
马克杯里有水。	水
马桶有洞。	洞
马铃薯在地下。	地
鱼掉在网外。	网
鲨鱼在水里。	水
鸡腿在碗里。	碗
鸡蛋在碗里。	碗
麦片在碗里。	碗
黑影在窗外。	窗
鼹鼠在地里。	地
B咖主持人想要红。	红
狗喜欢乱咬东西。	狗
猪喜欢吃。	猪
鸟喜欢吃小虫。	鸟
猫喜欢吃老鼠。	猫
牛喜欢吃草。	牛
鸟喜欢吃虫。	鸟
鱼喜欢吃饵料。	鱼
狗喜欢吐舌头。	狗
鸟喜欢吱吱叫。	鸟
狗喜欢咬骨头。	狗
鸡喜欢啄小虫。	鸡
鱼喜欢在水里。	鱼
鱼喜欢在水里游。	鱼
猫喜欢夜行。	猫
猫喜欢抓主人。	猫
猫喜欢抓鱼。	猫
狗喜欢接飞盘。	狗
狗喜欢摇尾巴。	狗
鸡喜欢斗蜈蚣。	鸡
猫喜欢毛球。	猫
猫喜欢毛线。	猫
狗喜欢汪汪叫。	狗
鱼喜欢游来游去。	鱼
猫喜欢爬树。	猫
蛇喜欢爬行。	蛇
猫喜欢爬高。	猫
猫喜欢玩会动的东西。	猫
猫喜欢玩毛球。	猫
猫喜欢玩毛线。	猫
狗喜欢看家。	狗
鸟喜欢站树上。	鸟
猫喜欢舔毛。	猫
狗喜欢跟着主人。	狗
猫喜欢追老鼠。	猫
狗喜欢骨头。	狗
鱼惧怕没水。	鱼
羊惧怕没草吃。	羊
狗惧怕被遗弃。	狗
贼惧怕警察。	贼
虫惧怕鸡。	虫
虫惧怕麻雀。	虫
猫想要吃小鱼干。	猫
猫想要玩毛毛球。	猫
鱼痛恨渔夫。	鱼
鱼痛恨钓钩。	鱼
上班族想要钱。	钱
乐观的人喜欢笑。	笑
人都想要钱。	钱
仓鼠惧怕猫。	猫
伤心想要哭。	哭
伤心时想要哭。	哭
受伤想要哭。	哭
大老鼠惧怕猫。	猫
天竺鼠惧怕猫。	猫
失恋的时候想要哭。	哭
失意的时候想要哭。	哭
孤儿想要家。	家
小白鼠惧怕猫。	猫
小红帽惧怕狼。	狼
很感动时想要哭。	哭
快迟到了就会想要跑。	跑
怕鬼的人惧怕黑。	黑
悲伤想要哭。	哭
悲伤时想要哭。	哭
想变富有所以想要钱。	钱
新袜子惧怕脏。	脏
旱鸭子惧怕水。	水
杰利鼠惧怕猫。	猫
杰力鼠惧怕猫。	猫
森林惧怕火。	火
欠卡债的人想要钱。	钱
母亲过世时想要哭。	哭
水老鼠惧怕猫。	猫
没有人不喜欢钱。	钱
火焰惧怕水。	水
猪八戒喜欢吃。	吃
球迷想要赢。	赢
瓦斯行惧怕火。	火
生意人想要钱。	钱
田鼠惧怕猫。	猫
电器用品惧怕水。	水
疼痛想要哭。	哭
素食者痛恨肉。	肉
蛇在冬天喜欢睡。	睡
蝴蝶喜欢花。	花
被搔痒想要笑。	笑
贫穷的人想要钱。	钱
难过想要哭。	哭
难过时想要哭。	哭
鼹鼠惧怕蛇。	蛇
98无铅汽油的原料是碳。	碳
布可以拿来做成T恤。	布
水可以拿来做成冰块。	水
纸可以拿来做成卡片。	纸
米可以拿来做成年糕。	米
布可以拿来做成床单。	布
书可以用再生纸制成。	书
书可以用印刷机制成。	书
钱可以用印钞机制成。	钱
书可以用回收纸制成。	书
书可以用很多纸制成。	书
路可以用柏油制成。	路
水可以用氢与氧制成。	水
水可以用氢气与氧气制成。	水
水可以用氢气跟氧气制成。	水
水可以用氢跟氧制成。	水
伞可以用油纸制成。	伞
糖可以用甜菜制成。	糖
酒可以用白葡萄制成。	酒
书可以用竹简制成。	书
酒可以用葡萄制成。	酒
布可以用麻制成。	布
水由H和O组成。	水
书由很多张纸组成。	书
水由氢和氧组成。	水
水由氢氧组成。	水
酒的原料是乙醇。	酒
茶的原料是叶子。	茶
茶的原料是叶片。	茶
面的原料是小麦。	面
纸的原料是木浆。	纸
茶的原料是树叶。	茶
路的原料是沥青。	路
面的原料是麦子。	面
不锈钢可以用铁制成。	铁
书卷可以用纸制成。	纸
公益彩券的原料是纸。	纸
刨冰可以用水制成。	水
千元大钞可以用纸制成。	纸
半年报的原料是纸。	纸
名片可以用纸制成。	纸
地图可以用纸制成。	纸
大海由水组成。	水
字典可以用纸制成。	纸
小河由水组成。	水
披风的原料是布。	布
文章由字组成。	字
新台币的原料是纸。	纸
月历可以用纸制成。	纸
木片可以用树制成。	树
杂志可以用纸制成。	纸
杯垫可以用布制成。	布
桌巾可以用布制成。	布
椅套可以用布制成。	布
氧气可以用水制成。	水
河流由水组成。	水
海报的原料是纸。	纸
消费券可以用纸制成。	纸
火腿由肉组成。	肉
灯笼可以用纸制成。	纸
热水瓶可以用钢制成。	钢
玻璃可以用硅制成。	硅
盒子可以用纸制成。	纸
礼盒的原料是纸。	纸
窗帘可以用布制成。	布
箱子可以用纸制成。	纸
粽子的原料是米。	米
统一发票可以用纸制成。	纸
钞票可以用纸制成。	纸
钢弹可以用铁制成。	铁
钢筋可以用铁制成。	铁
钱包可以用皮制成。	皮
铅球可以用铁制成。	铁
锁匙可以用铁制成。	铁
门帘可以用布制成。	布
门把可以用铁制成。	铁
面粉可以拿来做成派。	派
睡是为了补充元气。	睡
饿的时候会想要买东西吃。	饿
饿的时候会想要买便当。	饿
饿的时候会想要买宵夜。	饿
渴的时候会想要买水。	渴
饿的时候会想要买食物。	饿
饿的时候会想要买饭。	饿
渴的时候会想要买饮料。	渴
累的时候会想要倒头大睡。	累
渴的时候会想要倒水喝。	渴
饿的时候会想要出去吃饭。	饿
哭的时候会想要别人来安慰。	哭
冷的时候会想要取暖。	冷
饿的时候会想要叫外卖。	饿
饿的时候会想要叫外送。	饿
饿的时候会想要吃便当。	饿
饿的时候会想要吃到饱。	饿
饿的时候会想要吃包子。	饿
饿的时候会想要吃大餐。	饿
饿的时候会想要吃拉面。	饿
饿的时候会想要吃水饺。	饿
饿的时候会想要吃汉堡。	饿
饿的时候会想要吃泡面。	饿
饿的时候会想要吃炒饭。	饿
饿的时候会想要吃炸鸡。	饿
饿的时候会想要吃牛排。	饿
饿的时候会想要吃牛肉面。	饿
饿的时候会想要吃米粉。	饿
饿的时候会想要吃美食。	饿
饿的时候会想要吃面。	饿
饿的时候会想要吃面包。	饿
饿的时候会想要吃饼干。	饿
饿的时候会想要吃鸡排。	饿
饿的时候会想要吃麦当劳。	饿
热的时候会想要吹电风扇。	热
累的时候会想要眯一下。	累
热的时候会想要喝冰水。	热
热的时候会想要喝冷饮。	热
冷的时候会想要喝热水。	冷
冷的时候会想要喝热汤。	冷
冷的时候会想要喝热茶。	冷
冷的时候会想要围围巾。	冷
累的时候会想要坐下。	累
累的时候会想要坐下来。	累
累的时候会想要坐着。	累
饿的时候会想要填饱肚子。	饿
忙的时候会想要多一点时间。	忙
饿的时候会想要大吃一顿。	饿
累的时候会想要大睡一番。	累
困的时候会想要好好休息。	困
困的时候会想要好好睡觉。	困
哭的时候会想要安慰。	哭
累的时候会想要小憩。	累
累的时候会想要小憩片刻。	累
热的时候会想要开冷气。	热
冷的时候会想要开暖气。	冷
热的时候会想要开电扇。	热
热的时候会想要开电风扇。	热
热的时候会想要待在冷气房。	热
累的时候会想要待在家。	累
哭的时候会想要得到安慰。	哭
饿的时候会想要找东西吃。	饿
哭的时候会想要找人安慰。	哭
饿的时候会想要找食物。	饿
饿的时候会想要找餐厅。	饿
烦的时候会想要抱怨。	烦
累的时候会想要按摩。	累
烦的时候会想要散心。	烦
哭的时候会想要有人安慰。	哭
累的时候会想要歇一会儿。	累
饿的时候会想要泡泡面。	饿
饿的时候会想要泡面。	饿
脏的时候会想要洗干净。	脏
饿的时候会想要煮东西。	饿
饿的时候会想要煮泡面。	饿
饿的时候会想要煮面。	饿
冷的时候会想要用暖暖包。	冷
饿的时候会想要看有没有吃的。	饿
困的时候会想要睡一下。	困
渴的时候会想要补充水分。	渴
哭的时候会想要被安慰。	哭
饿的时候会想要觅食。	饿
累的时候会想要趴下休息。	累
困的时候会想要趴下去睡。	困
累的时候会想要趴着。	累
累的时候会想要躺下。	累
累的时候会想要躺下来休息。	累
累的时候会想要躺着。	累
饿的时候会想要进食。	饿
不开心的时候会想要哭。	哭
不快乐的时候会想要哭。	哭
不高兴的时候会想要哭。	哭
买便当是为了吃。	吃
你会累因为你一直没休息。	累
你会饿因为你上一餐没吃。	饿
你会热因为你不开冷气。	热
你会哭因为你亲人过世。	哭
你会哭因为你伤心难过。	哭
你会累因为你刚上完班。	累
你会累因为你刚下班。	累
你会哭因为你刚失恋。	哭
你会哭因为你受委屈。	哭
你会哭因为你哀伤。	哭
你会哭因为你哀痛。	哭
你会饿因为你太久没吃。	饿
你会渴因为你太久没喝水。	渴
你会哭因为你太伤心。	哭
你会哭因为你委屈。	哭
你会饿因为你很久没吃。	饿
你会饿因为你很久没吃东西。	饿
你会哭因为你很伤心。	哭
你会哭因为你很难过。	哭
你会笑因为你很高兴。	笑
你会哭因为你心痛。	哭
你会哭因为你感到难过。	哭
你会累因为你熬夜念书。	累
你会累因为你熬夜通宵。	累
你会笑因为你看喜剧片。	笑
你会哭因为你看悲剧电影。	哭
你会累因为你睡眠不足。	累
你会热因为你穿太多。	热
你会热因为你穿太多了。	热
你会热因为你穿太多衣服。	热
你会冷因为你穿太少。	冷
你会冷因为你穿太少衣服。	冷
你会哭因为你被抛弃。	哭
你会笑因为你被搔痒。	笑
你会笑因为你被搔痒了。	笑
你会哭因为你被欺负。	哭
你会哭因为你觉得受伤。	哭
你会笑因为你觉得好玩。	笑
你会哭因为你觉得委屈。	哭
你会累因为你过度操劳。	累
你会累因为你连上八堂课。	累
你会累因为你通宵。	累
你会哭因为你遗憾。	哭
你会哭因为你钱被偷了。	哭
你会饿因为你闻到食物的味。	饿
你会死因为你阳寿已尽。	死
你会哭因为你难受。	哭
你会喝因为你非常渴。	喝
你会哭因为你非常难过。	哭
你会笑因为你顺心。	笑
你会吐因为你饮酒过量。	吐
你会痛因为你骨折。	痛
你会买吃的因为你饿。	饿
你会吃冰因为你热。	热
你会吃咖哩因为你饿。	饿
你会吃宵夜因为你饿。	饿
你会吃点心因为你饿。	饿
你会吃蛋挞因为你饿。	饿
你会吹电扇因为你热。	热
你会哭泣因为你痛。	痛
你会大叫因为你痛。	痛
你会奔跑因为你急。	急
你会想吃因为你饿。	饿
你会想要吃东西因为你饿。	饿
你会打滚因为你痛。	痛
你会流口水因为你饿。	饿
你会煮饭因为你饿。	饿
你会睡着因为你累。	累
你会穿外套因为你冷。	冷
你会脱衣服因为你热。	热
做错事的时候会想要哭。	哭
做面包的时候会想要吃。	吃
养电子鸡是为了玩。	玩
冲刺是为了赢。	赢
分手的时候会想要哭。	哭
勒索的时候会想要钱。	钱
受伤的时候会想要哭。	哭
吃太多的时候会想要吐。	吐
吃太撑的时候会想要吐。	吐
吃安眠药的时候会想要睡。	睡
吃屎的时候会想要吐。	吐
吵架的时候会想要哭。	哭
喝醉的时候会想要吐。	吐
嘴馋的时候会想要吃。	吃
失火的时候会想要逃。	逃
头晕的时候会想要吐。	吐
学得开心的时候会想要笑。	笑
宠物太容易饿的时候会想要吃。	吃
工作的时候会想要钱。	钱
当你想要钱的时候你可能会买刮刮乐。	钱
当你想要买的时候你可能会付钱。	买
当你想要钱的时候你可能会借贷。	钱
当你想要哭的时候你可能会关门。	哭
当你想要哭的时候你可能会到厕所里。	哭
当你想要钱的时候你可能会努力加班。	钱
当你想要钱的时候你可能会努力去赚。	钱
当你想要钱的时候你可能会努力打工。	钱
当你想要哭的时候你可能会努力调适心情。	哭
当你想要钱的时候你可能会募款。	钱
当你想要笑的时候你可能会去joke板。	笑
当你想要钱的时候你可能会去上班赚。	钱
当你想要钱的时候你可能会去兼差。	钱
当你想要钱的时候你可能会去兼职。	钱
当你想要吐的时候你可能会去厕所。	吐
当你想要玩的时候你可能会去夜唱。	玩
当你想要钱的时候你可能会去工地赚。	钱
当你想要玩的时候你可能会去海边。	玩
当你想要玩的时候你可能会去游乐园。	玩
当你想要逛的时候你可能会去走走。	逛
当你想要笑的时候你可能会嘴角上扬。	笑
当你想要钱的时候你可能会寻找工作。	钱
当你想要钱的时候你可能会开店。	钱
当你想要哭的时候你可能会很伤心。	哭
当你想要钱的时候你可能会很努力赚。	钱
当你想要哭的时候你可能会很悲伤。	哭
当你想要哭的时候你可能会很难过。	哭
当你想要哭的时候你可能会心情低落。	哭
当你想要哭的时候你可能会忍住眼泪。	哭
当你想要哭的时候你可能会忍耐。	哭
当你想要钱的时候你可能会想到爸妈。	钱
当你想要喝的时候你可能会打开可口可乐。	喝
当你想要玩的时候你可能会打电动。	玩
当你想要钱的时候你可能会打电话给妈妈。	钱
当你想要哭的时候你可能会打电话给老公。	哭
当你想要哭的时候你可能会找个肩膀。	哭
当你想要吐的时候你可能会找厕所。	吐
当你想要哭的时候你可能会找地方静一静。	哭
当你想要玩的时候你可能会把作业写完。	玩
当你想要玩的时候你可能会把家事做完。	玩
当你想要钱的时候你可能会抢邮局。	钱
当你想要红的时候你可能会报名星光大道。	红
当你想要哭的时候你可能会抱人。	哭
当你想要钱的时候你可能会拉赞助。	钱
当你想要飞的时候你可能会拍动翅膀。	飞
当你想要哭的时候你可能会拿卫生纸。	哭
当你想要吐的时候你可能会拿塑胶袋。	吐
当你想要钱的时候你可能会拿奖学金。	钱
当你想要哭的时候你可能会拿手帕。	哭
当你想要钱的时候你可能会提款。	钱
当你想要钱的时候你可能会教家教。	钱
当你想要哭的时候你可能会有人陪。	哭
当你想要钱的时候你可能会用功唸书。	钱
当你想要笑的时候你可能会看喜剧。	笑
当你想要笑的时候你可能会看四格漫画。	笑
当你想要逛的时候你可能会看天气。	逛
当你想要笑的时候你可能会看康熙来了。	笑
当你想要笑的时候你可能会看漫画。	笑
当你想要笑的时候你可能会看笨版。	笑
当你想要玩的时候你可能会约朋友。	玩
当你想要钱的时候你可能会经营生意。	钱
当你想要飞的时候你可能会装翅膀。	飞
当你想要死的时候你可能会豁出去了。	死
